Timestamp,career_stage,stanford_undergrad,years_at_Stanford,undergrad_major,n_siblings,city_residence,dog_or_cat,movies_seen,n_hours_sleep
2/11/25 10:59,PhD Student,No,5,Bioinformatics,3,Mountain View,Dog,"Dune: Part Two, Wicked",
2/19/25 17:44,PhD Student,No,4,Public Health and Data Science,1,Palo Alto,Cat,"Conclave, Dune: Part Two, Wicked",6
2/19/25 23:27,Coterm/MS Student,No,2,Biology and Biostatistics,0,Menlo Park,Dog,The Substance,6
2/22/25 16:17,Coterm/MS Student,Yes,5,Mathematical and Computational Science,1,Stanford,Dog,"Anora, Dune: Part Two",6.5
2/23/25 1:22,Coterm/MS Student,Yes,4,Human Biology,1,Stanford,Dog,Wicked,8
2/25/25 22:12,Coterm/MS Student,No,0.5,Biochemistry,1,Stanford,Dog,,7.5
2/26/25 14:48,Coterm/MS Student,Yes,5,Human Biology,1,San Leandro,Dog,,7
2/28/25 13:49,Coterm/MS Student,No,1,Physiology,1,Stanford,Dog,,8.5
2/28/25 14:16,Undergraduate Student,Yes,3,Human Biology,2,Stanford,Both,Wicked,8
2/28/25 20:13,Coterm/MS Student,Yes,5,Biology,2,Stanford,Dog,Dune: Part Two,7
3/1/25 0:44,Coterm/MS Student,Yes,6 years in September,Human Biology,1,Stanford,Cat,"Anora, Dune: Part Two",8
3/1/25 20:39,Coterm/MS Student,Yes,6,Human Biology,2,Stanford,Dog,"Anora, The Brutalist, A Complete Unknown, Conclave, Emilia Pérez, The Substance",9
3/2/25 0:48,Undergraduate Student,Yes,3,Human Biology,2,Stanford,both,Dune: Part Two,8
3/2/25 14:02,Postdoc/Resident/Fellow,No,2,Molecular Bio,1,Palo Alto,Dog,"Dune: Part Two, Emilia Pérez, Wicked",7
3/2/25 18:41,Medical Student,No,2,Biology,1,Stanford,Dog,"Dune: Part Two, Wicked",8
3/2/25 19:23,Coterm/MS Student,No,0.5,Premed,2,Stanford,Dog,Wicked,7.5
3/3/25 12:42,Coterm/MS Student,No,3,"Chemistry and Math, double",1,Oakland,Dog,,9
3/3/25 14:25,Coterm/MS Student,No,<1,Neurobiology and Behavior,1,Menlo Park,Dog,"The Substance, Wicked",7
3/3/25 14:41,Undergraduate Student,,3,Public Policy,2,Stanford,Cat,Wicked,7.5
3/3/25 15:28,Coterm/MS Student,No,1,Biology,1,Stanford,Dog,"Anora, The Brutalist, Dune: Part Two, I'm Still Here, Nickel Boys",5